Id,Predicted
19307997,389.35
20176193,107.43
19485371,67.89
13079990,81.45
22339757,67.19
7717071,75.0
19416433,223.02
28602814,195.28
3167768,264.61
22026277,272.56
20982450,93.02
16271468,85.31
14445183,123.22
6040356,121.0
11484489,189.98
29541600,175.19
2793834,153.21
588677,155.02
22940375,188.15
26126728,126.1
8072662,200.74
26250574,140.9
19568889,61.86
2048796,66.25
24938213,151.93
8555036,97.88
22108302,90.32
3625656,129.66
11238715,106.19
5041360,203.45
3989564,150.22
22662308,230.63
17728208,121.43
13597896,61.9
13083638,129.31
8760775,122.33
25518930,130.69
17256297,77.96
1975069,981.99
479285,67.7
22050058,69.67
21844210,268.44
25835470,128.8
27853108,147.86
9486111,213.6
23148095,58.27
26603929,93.28
6272181,63.67
22674576,50.83
20758205,179.4
22928982,391.45
28582815,137.17
13406622,720.04
24429072,262.1
4031951,111.35
25380861,164.88
18946416,291.93
9028856,334.52
29455324,366.68
23342877,90.53
28333465,106.36
29335812,131.88
15621557,57.6
22240208,390.8
14851292,77.58
13649833,102.33
6843556,206.04
4881610,94.83
14125183,92.09
13374115,84.92
12495831,152.84
11963123,116.78
16024539,85.73
4351563,111.66
27141784,74.1
14684699,131.01
5031569,104.68
9046203,116.47
16238779,238.0
4629359,184.69
3811186,96.16
8703711,63.06
26814509,469.4
17556436,66.99
27368543,150.55
16456543,51.69
190542,117.9
18753645,168.45
14928996,90.04
24918804,168.49
29569480,71.68
4434797,85.75
7403108,58.39
14070967,92.89
28624477,74.62
7632182,136.64
27507052,66.15
10681555,177.33
26224149,61.86
15010339,85.81
21979587,81.25
491123,111.61
1703303,125.08
13276073,173.07
10336325,115.16
18504631,57.87
12983221,211.59
28893280,252.63
10995810,82.57
29490463,71.38
19476873,173.89
11693193,155.6
3766496,134.65
13936825,74.64
9331413,155.65
15144105,56.64
25763994,55.26
18457273,66.95
10120414,200.47
26770369,77.99
26035905,82.15
7367864,327.94
18736642,96.53
21190435,74.77
3750917,114.32
29260109,245.0
26236287,37.43
23744530,89.62
22937557,55.13
11069190,109.65
14535422,92.99
29615038,64.75
28978145,101.68
9116831,89.6
4728136,68.94
26337553,76.22
20136238,65.56
19343700,163.42
16409970,177.92
25740704,181.72
27604010,218.32
29490455,293.12
9429015,188.29
17575407,55.4
17481087,156.95
29391342,145.91
16163768,118.04
21139341,356.65
301372,67.97
18824754,112.13
28652436,71.07
14762427,130.19
26338854,121.34
23902815,72.1
25289041,352.43
4325244,150.06
2695372,205.43
715070,219.41
21293326,164.98
4235620,118.18
27573123,98.7
5562710,144.72
6227341,80.85
9955143,104.91
22838613,89.87
8736291,121.19
22339572,62.93
7542840,109.47
11957593,87.3
25413957,194.6
8371626,140.83
13485043,160.69
20775042,91.35
15468790,72.71
7434615,152.81
26401133,128.6
7082866,213.96
9883870,199.24
13092522,68.64
26716581,102.51
18840683,67.1
13996108,257.67
26039386,97.5
27584712,100.59
1771989,93.44
13431961,214.39
14365130,144.13
23480798,264.69
24538997,94.55
20333200,117.79
16163482,406.59
294353,116.97
16214500,117.92
12325291,357.21
918049,148.84
14110144,138.39
28670804,152.06
20504269,115.65
258740,72.94
22249905,219.32
29282847,117.83
14153242,142.14
6452188,141.32
22878070,224.16
14403485,106.58
12990172,89.77
12970522,186.3
19429274,61.32
13788900,334.29
21026558,172.5
15079046,70.62
20516112,77.69
18354821,66.75
17791923,99.4
25033991,222.01
27283118,132.03
17790276,81.99
21217451,82.77
4244479,182.13
19431893,72.18
7458297,88.23
21838658,139.25
19764136,218.95
24352306,225.93
3951363,117.92
3758296,98.38
8241894,90.37
12050280,233.62
27133188,82.92
22153425,120.57
4447524,180.42
21550105,57.6
3929669,129.77
19787238,202.8
12806016,183.64
16544473,157.84
2267692,122.97
756892,172.38
17450190,100.5
83243,78.77
17590481,343.24
6919971,95.14
276120,245.15
24313537,231.95
18361399,170.12
8964308,103.02
1604488,114.86
7973484,192.99
20569589,224.23
24444586,67.66
17298,126.95
26197763,42.47
2284454,984.73
16634804,95.02
2552938,179.32
26950547,166.66
25183760,173.85
10175187,83.53
19384143,123.71
8625398,161.78
6926686,125.04
27338569,179.99
26258306,108.51
6014327,91.26
26475819,70.09
13115688,86.34
3344383,448.64
27435179,71.15
3944737,149.58
23644347,60.35
21780636,108.54
5682992,86.54
253815,217.35
10038776,55.84
6809332,216.45
15037251,237.02
7516992,304.74
19307798,164.81
1132201,78.06
4359703,281.6
976167,126.29
20827546,89.35
21171726,135.32
26735765,77.89
15494542,150.99
10289124,104.55
24678015,130.01
9089306,238.97
21211033,88.43
16740779,49.18
8504231,114.29
25949165,48.13
3359001,140.96
24583519,135.26
3850493,123.27
19530652,80.4
19409691,71.72
17881079,99.48
23122670,57.99
16867729,57.84
11159781,51.02
16364491,250.96
22304581,66.0
5409372,155.73
23484328,167.18
5816154,87.06
13619661,141.0
16648750,166.91
19298911,78.06
21593872,99.08
23903189,68.93
14024257,112.96
25317793,50.08
1479113,90.11
13604994,104.55
10475047,51.01
2303583,305.96
16050081,135.75
27952152,41.77
17152350,288.54
19969420,98.73
25101138,346.13
10050847,77.38
11888948,144.18
2127713,103.78
4948953,93.06
6297613,91.89
16679726,73.68
9843826,159.85
21422090,66.2
18748170,107.82
3826037,62.92
840103,126.93
13004741,75.82
27018851,222.94
9247923,121.27
7808003,242.55
915020,121.89
19787716,133.1
9318504,95.74
15412415,144.4
28302975,169.66
24538208,81.84
391948,155.8
6607833,60.29
8045421,177.34
20904409,101.09
25946172,60.65
9512419,76.57
26951357,144.13
10338696,45.21
3352608,328.12
28491822,260.23
29630309,57.5
20586035,60.64
24390991,234.55
29313136,204.51
28127009,66.7
26747409,68.93
25292558,92.17
10212686,75.71
20741563,62.87
4482783,96.37
9464046,58.17
635282,158.77
9754751,127.44
25816212,178.18
21678001,139.71
10318675,95.23
6048412,292.6
16027312,117.1
23540017,116.42
23545634,85.64
24823077,51.55
8989380,132.47
27306234,87.59
23355364,334.93
21658519,284.39
27967972,68.14
28510269,49.84
23002371,202.94
7116670,53.99
23875454,109.4
3038614,586.01
7205064,122.18
16380258,179.77
29382702,172.86
16514808,57.29
14710717,98.05
14201811,52.32
23291441,50.42
21845154,182.69
521522,82.28
11491051,165.29
13997415,406.31
1645181,148.18
6758846,118.77
27901272,127.04
18517584,86.73
19911921,188.18
13548101,118.86
25995800,199.81
18754907,90.2
13908291,234.84
27964166,218.94
10972514,128.98
19698644,138.93
29435698,250.35
1637178,160.9
8547691,109.11
29052983,139.6
259946,125.34
17405775,63.03
2660576,80.48
7094539,196.63
9831392,49.3
8119018,69.62
12070965,121.8
27366434,192.23
16122223,149.3
28680576,124.3
4756280,53.06
11849017,152.22
19981889,91.38
6660373,63.68
26258407,168.68
17847644,117.51
12604187,177.31
11007370,410.48
27975725,61.25
9960135,60.75
28182409,59.07
16394193,60.44
22885310,69.6
3553679,139.08
20228476,83.06
25933116,224.63
8052841,163.08
7177958,119.19
13378643,102.28
2204397,123.01
22866619,134.87
12287479,56.44
6759264,58.56
26199962,189.66
3531190,262.14
15067291,101.93
21343278,70.6
23256946,52.54
12346131,167.5
12972320,305.31
62230,91.38
25262332,145.09
19348233,150.69
289995,91.19
20786225,73.71
28471411,391.2
17269342,148.61
15113377,119.98
9572448,50.61
6329973,140.94
212544,139.9
6956274,66.57
7750282,104.07
272706,109.58
26893530,80.34
16333699,58.82
20540868,61.97
1972126,378.96
6937897,93.66
6113839,183.59
14851530,64.23
17861841,118.39
887292,172.92
13258556,150.27
6168663,92.01
9280902,105.43
258686,101.03
17531493,59.73
26000559,50.99
23108981,369.41
